Item,Retail.Price,Unit.Cost
MFH BW Rucksack Black - Backpacks,34.95,28.51
Keyboard Tote Bag - Luggage,12.99,10.32
Bettertimes Mesh Bag - Drawstring Bags,4.71,4.44
Transformers mini Backpack 10 inch - Casual Daypacks,15.95,11.75
Old Friend Alpine Slipper - Slippers,83.32,67.95
Sweeney Todd Messenger Bag - Messenger Bags,49.95,41.71
Black Cut Out BATMAN Logo Belt Buckle - Belt Buckles,13.37,10.84
Big Oval Plain Belt Buckle - Belt Buckles,16.53,15.87
Liberty Bags Cooler Tote - Luggage,10.99,8.70
Razor JP Fitovers - Sunglasses,59.99,44.81
Fitovers Eyewear Aviator Sunglasses - Sunglasses,59.95,52.03
Matisse Women's Muse Slouch Boot - Boots,44.99,39.35
Timex Expedition TM0059 - Wrist Watches,78.25,74.19
Trafalgar Men's Formal Regal Suspender - Suspenders,58.00,44.66
Trafalgar Men's Alligator Billford - Wallets,480.00,404.02
Perry Ellis Mens Pauly Belt - Belts,24.00,22.80
Terra Plana Women's Juniper Pump - Pumps,189.95,172.53
Gucci Women's GG 3786S - Sunglasses,211.92,190.17
Chinese Laundry Women's Friday Pump - Pumps,47.99,37.05
Disney Tigger Brass Keyring - Keyrings & Keychains,7.42,5.59
US Flag Store Brazil Lapel Pin - Brooches & Pins,6.90,6.38
US Flag Store Idaho Flag Lapel Pin - Jewelry,1.50,1.26
Cuba Lapel Pin - Jewelry,2.40,1.74
US Flag Store Lapel Pin Florida Flag - Brooches & Pins,2.95,2.32
US Flag Store Chile Lapel Pin - Jewelry,1.50,1.09
US Flag Store Germany Lapel Pin - Jewelry,10.10,7.51
US Flag Store Kentucky Flag Lapel Pin - Jewelry,6.60,5.96
US Flag Store Jamaica Lapel Pin - Jewelry,1.48,1.08
US Flag Store Korea Lapel Pin - Jewelry,7.61,6.12
US Flag Store Christian Flag Lapel Pin - Jewelry,1.56,1.16
US Flag Store Kansas Flag Lapel Pin - Jewelry,6.46,5.89
US Flag Store Lapel Pin Italy Flag - Jewelry,1.48,1.23
US Flag Store Sweden Lapel Pin - Jewelry,1.48,1.37
US and Coast Guard Lapel Pin - Brooches & Pins,2.95,2.45
US Flag Store Israel Lapel Pin - Jewelry,5.88,4.33
US Flag Store Australia Lapel Pin Flag - Brooches & Pins,7.65,7.23
US Flag Store China Lapel Pin - Brooches & Pins,6.55,5.80
US Flag Store Marine Round Lapel Pin - Jewelry,5.88,5.29
Nevada Flag Lapel Pin - Jewelry,1.47,1.12
US Flag Store Lapel Pin Virginia Flag - Jewelry,7.61,7.13
US Flag Store Hawaii Flag Lapel Pin - Brooches & Pins,6.47,5.32
US Flag Store Switzerland Lapel Pin - Brooches & Pins,1.48,1.09
US Flag Store Thailand Lapel Pin - Jewelry,8.49,6.50
US Flag Store POW MIA Lapel Pin - Jewelry,1.50,1.24
US Flag Store Portugal Lapel Pin - Brooches & Pins,6.90,5.53
US Flag Store Lapel Pin Spain Flag - Brooches & Pins,1.48,1.10
US and Air Force Lapel Pin - Brooches & Pins,5.88,4.39
US Flag Store France Lapel Pin - Jewelry,5.88,5.22
US Flag Store Iowa Flag Lapel Pin - Brooches & Pins,1.66,1.38
US Flag Store California Flag Lapel Pin - Jewelry,1.48,1.35
US Flag Store India Lapel Pin - Jewelry,1.48,1.09
Indiana Flag Lapel Pin - Jewelry,1.50,1.40
US Flag Store Texas Flag Lapel Pin - Jewelry,5.88,4.54
US Flag Store Lapel Pin Pirate Flag - Jewelry,1.49,1.31
US Flag Store New Mexico Flag Lapel Pin - Jewelry,3.15,2.76
Dyeables Women's Natalie Sandal - Heeled Sandals,73.00,55.14
Naot Esteem - Sandals,99.50,92.17
High Sierra Chip Chip Messenger Bag - Messenger Bags,15.03,10.99
PF Flyers Men's Windjammer - Fashion Sneakers,32.99,30.65
Accoutrements Bacon Wallet - Wallets,11.78,11.08
Galco SB640 Gun Stock Accessories - Belts,95.20,78.68
Maxpedition Rollypoly Backpack - Casual Daypacks,35.99,30.15
Oakley Radar Range Replacement Lenses - Sunglasses,80.00,62.61
Oakley Flak Jacket Lens - Sunglasses,50.00,47.56
Invicta Men's Swiss Speedway 7026 - Wrist Watches,7.99,7.14
The Alchemist Skull Gothic Necklace - Necklaces,15.19,13.09
Andrew Geller Women's Fileena - Platforms & Wedges,13.75,10.19
VonZipper Fulton Square Sunglasses - Sunglasses,99.95,76.94
SCALA Women's Big Brim Crocheted Toyo - Sun Hats,20.74,19.24
Triple Goddess Tote Bag - Luggage,21.00,15.85
Pink Microfiber Tie | Bunnies Necktie - Neckties,19.95,15.65
Disney Tinkerbell 14" Plush Doll - Kids' Backpacks,4.23,3.42
Ladybug Plush Toy Purse (Tote) - Shoulder Bags,17.99,13.07
Analog Tide Watch Two Tone White Dial - Wrist Watches,104.32,90.80
Caterpillar Men's Rib Watch Cap - Wrist Watches,13.99,11.94
RAMPAGE Women's Fynn - Kids' Backpacks,13.99,10.74
Princess in Gold n Pink Large Backpack - Kids' Backpacks,13.99,11.72
Black Microfiber Tie | Ducks Necktie - Neckties,20.95,15.86
Ford Belt Buckle cool car classic - Belt Buckles,19.95,14.51
Arturo Chiang Women's Taty Dress Flat - Flats,59.97,44.35
Nine West Women's Omygosh Pump - Pumps,79.00,62.11
Nine West Women's Markeson Bootie - Boots,159.95,126.73
Suncloud Hook Sunglasses - Sunglasses,49.99,39.75
Line 6  POD X3 Live Bag - Travel Duffels,49.99,42.18
Polaroid Pld 4043/S Sunglasses - Sunglasses,43.85,39.02
High Sierra Loop Backpack - Casual Daypacks,59.99,49.73
Yellow Box Women's Roslin Sandal - Sandals,23.99,19.39
Seirus Innovation Arm Ski Pass Holder - Wallets,4.99,4.49
Red Microfiber Tie | 8 Bit Necktie - Neckties,14.95,12.64
Ray Ban RB2140 Original Wayfarer - Sunglasses,153.00,142.06
Peugeot Women's 1051 - Wrist Watches,3.99,3.57
Franco Sarto Women's Era Mary Jane - Pumps,72.08,52.10
Bulova Women's Watch - Wrist Watches,239.00,227.94
River Woods: Womens White Watch - Wrist Watches,375.00,337.81
Johnston & Murphy Men's Topstiched Belt - Belts,69.45,56.38
Sports Ball Bag with Shoe Compartment - Sports Duffels,45.99,35.73
Seiko Women's Diamonds watch #SUJD34 - Wrist Watches,135.00,99.14
Vans The Slipped Wallet - Wallets,2.58,2.27
Comic Images Spiderman Buddies Backpack - Kids' Backpacks,36.49,28.00
Amaro 44200 42 X 21 Inch Roll Bag - Travel Duffels,33.57,25.84
Hello Kitty Backpack - Kids' Backpacks,21.99,16.62
Reveal Watch in Black - Wrist Watches,125.00,90.05
Spy Optic Hielo Sunglasses - Sunglasses,135.00,97.80
Piano Keys White Microfiber Tie - Neckties,25.95,21.07
Princess Evil Queen Messenger Bag - Messenger Bags,19.99,14.81
Florsheim Men's Stowe Cap Toe Oxford - Oxfords,79.96,58.93
Manhattan Portage Greenwich Tote - Totes,129.00,104.76
Manhattan Portage Urban Bag - Messenger Bags,49.00,36.08
Manhattan Portage Small DJ Bag - Messenger Bags,65.00,53.91
Manhattan Portage XS DJ Bag (Black) - Messenger Bags,49.00,37.24
Manhattan Portage Reflective DJ Bag - Messenger Bags,69.00,58.50
Manhattan Portage Dana's Messenger Bag - Messenger Bags,105.00,98.90
Manhattan Portage J Bag - Messenger Bags,3.91,2.84
Manhattan Portage Dakota Backpack - Casual Daypacks,3.91,3.48
Manhattan Portage East Village Bag - Messenger Bags,35.00,26.86
Manhattan Portage Manhattan Bag - Messenger Bags,65.00,57.19
Coiler Shoelaces BROWN - Shoelaces,4.99,3.60
BLACKHAWK! Handgun Cartridge Belt - Belts,20.99,15.26
BLACKHAWK! Shotgun Cartridge Belt - Belts,18.97,14.45
Pokemon Watch Gotta Catch 'em all - Wrist Watches,17.98,15.16
